season,episode,img_src,painting_title,hex_codes
7,2,https://www.twoinchbrush.com/images/painting204.png,Secluded Lake,#9C918E
7,3,https://www.twoinchbrush.com/images/painting205.png,Evergreens at Sunset,#A38B75
7,4,https://www.twoinchbrush.com/images/painting206.png,Mountain Cabin,#8C9486
7,5,https://www.twoinchbrush.com/images/painting208.png,Portrait of Sally,#A29566
7,6,https://www.twoinchbrush.com/images/painting209.png,Misty Waterfall,#999396
7,7,https://www.twoinchbrush.com/images/painting210.png,Barn at Sunset,#AD9395
7,8,https://www.twoinchbrush.com/images/painting211.png,Mountain Splendor,#A89272
7,9,https://www.twoinchbrush.com/images/painting212.png,Lake by Mountain,#8E93B0
7,10,https://www.twoinchbrush.com/images/painting213.png,Mountain Glory,#91969D
7,11,https://www.twoinchbrush.com/images/painting214.png,Grey Winter,#A796B3
7,12,https://www.twoinchbrush.com/images/painting215.png,Dock Scene,#8F96B1
7,13,https://www.twoinchbrush.com/images/painting216.png,Dark Waterfall,#9A867F
8,1,https://www.twoinchbrush.com/images/painting190.png,Misty Rolling Hills,#C39CB2
8,2,https://www.twoinchbrush.com/images/painting191.png,Lakeside Cabin,#B39F9B
8,3,https://www.twoinchbrush.com/images/painting192.png,Warm Winter Day,#C8869C
8,4,https://www.twoinchbrush.com/images/painting193.png,Waterside Way,#B99874
8,5,https://www.twoinchbrush.com/images/painting194.png,Hunter's Haven,#AC99B0
8,6,https://www.twoinchbrush.com/images/painting195.png,Bubbling Mountain Brook,#AB9DBF
8,7,https://www.twoinchbrush.com/images/painting196.png,Winter Hideaway,#D4BFB7
8,8,https://www.twoinchbrush.com/images/painting197.png,Foot of the Mountain,#BDB2B1
8,9,https://www.twoinchbrush.com/images/painting198.png,Majestic Pine,#AD8E7D
8,10,https://www.twoinchbrush.com/images/painting199.png,Cactus at Sunset,#C1756F
8,11,https://www.twoinchbrush.com/images/painting200.png,Mountain Range,#AA99B7
8,12,https://www.twoinchbrush.com/images/painting201.png,Lonely Retreat,#988CA9
